area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Lutjanus synagris","Lane snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale lines,Direct human consumption,64.8727910354,233381.37592344894
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Lutjanus synagris","Lane snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale seine nets,Direct human consumption,33.2133357278,119485.74845391727
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Lutjanus synagris","Lane snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,37.8262990233,136080.99129473921
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Lutjanus synagris","Lane snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,33.2133357278,119485.74845391727
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale seine nets,,19.6131888865
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale pots or traps,,19.6131888865
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale lines,,19.6131888865
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,108.0990712074,478113.5782921719
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,108.0990712074,478113.5782921719
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale lines,Direct human consumption,108.0990712074,478113.5782921719
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale seine nets,Direct human consumption,55.3441695135,244782.8517685977
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,55.3441695135,244782.8517685977
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,55.3441695135,244782.8517685977
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Panulirus argus","Caribbean spiny lobster","Lobsters, crabs","Crustaceans","Puerto Rico (USA)",Artisanal,Discards,Unreported,bagnets,,24.0803403761
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Panulirus argus","Caribbean spiny lobster","Lobsters, crabs","Crustaceans","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale pots or traps,,6.0200850940
