time,zlev,latitude,longitude,sst
UTC,m,degrees_north,degrees_east,degree_C
1992-01-03T12:00:00Z,0.0,17.125,293.625,26.14
1992-01-03T12:00:00Z,0.0,17.125,293.875,26.14
1992-01-03T12:00:00Z,0.0,17.125,294.125,26.12
1992-01-03T12:00:00Z,0.0,17.125,294.375,26.11
1992-01-03T12:00:00Z,0.0,17.125,294.625,26.09
1992-01-03T12:00:00Z,0.0,17.125,294.875,26.05
1992-01-03T12:00:00Z,0.0,17.125,295.125,26.03
1992-01-03T12:00:00Z,0.0,17.125,295.375,26.09
1992-01-03T12:00:00Z,0.0,17.125,295.625,26.18
1992-01-03T12:00:00Z,0.0,17.125,295.875,26.23
1992-01-03T12:00:00Z,0.0,17.125,296.125,26.22
1992-01-03T12:00:00Z,0.0,17.375,292.125,26.16
1992-01-03T12:00:00Z,0.0,17.375,292.375,26.17
1992-01-03T12:00:00Z,0.0,17.375,292.625,26.14
1992-01-03T12:00:00Z,0.0,17.375,292.875,26.14
1992-01-03T12:00:00Z,0.0,17.375,293.125,26.13
1992-01-03T12:00:00Z,0.0,17.375,293.375,26.12
1992-01-03T12:00:00Z,0.0,17.375,293.625,26.13
1992-01-03T12:00:00Z,0.0,17.375,293.875,26.12
1992-01-03T12:00:00Z,0.0,17.375,294.125,26.14
1992-01-03T12:00:00Z,0.0,17.375,294.375,26.13
1992-01-03T12:00:00Z,0.0,17.375,294.625,26.12
1992-01-03T12:00:00Z,0.0,17.375,294.875,26.08
1992-01-03T12:00:00Z,0.0,17.375,295.125,26.05
1992-01-03T12:00:00Z,0.0,17.375,295.375,26.09
1992-01-03T12:00:00Z,0.0,17.375,295.625,26.16
1992-01-03T12:00:00Z,0.0,17.375,295.875,26.19
1992-01-03T12:00:00Z,0.0,17.375,296.125,26.15
1992-01-03T12:00:00Z,0.0,17.625,292.125,26.11
1992-01-03T12:00:00Z,0.0,17.625,292.375,26.13
1992-01-03T12:00:00Z,0.0,17.625,292.625,26.16
1992-01-03T12:00:00Z,0.0,17.625,292.875,26.14
1992-01-03T12:00:00Z,0.0,17.625,293.125,26.12
1992-01-03T12:00:00Z,0.0,17.625,293.375,26.1
1992-01-03T12:00:00Z,0.0,17.625,293.625,26.07
1992-01-03T12:00:00Z,0.0,17.625,293.875,26.08
1992-01-03T12:00:00Z,0.0,17.625,294.125,26.1
1992-01-03T12:00:00Z,0.0,17.625,294.375,26.08
1992-01-03T12:00:00Z,0.0,17.625,294.625,26.08
1992-01-03T12:00:00Z,0.0,17.625,294.875,26.04
1992-01-03T12:00:00Z,0.0,17.625,295.125,26.0
1992-01-03T12:00:00Z,0.0,17.625,295.375,26.02
1992-01-03T12:00:00Z,0.0,17.625,295.625,26.07
1992-01-03T12:00:00Z,0.0,17.625,295.875,26.1
1992-01-03T12:00:00Z,0.0,17.625,296.125,26.02
1992-01-03T12:00:00Z,0.0,17.875,292.125,26.09
1992-01-03T12:00:00Z,0.0,17.875,292.375,26.17
1992-01-03T12:00:00Z,0.0,17.875,292.625,26.21
1992-01-03T12:00:00Z,0.0,17.875,292.875,26.22
1992-01-03T12:00:00Z,0.0,17.875,293.125,26.16
1992-01-03T12:00:00Z,0.0,17.875,293.375,26.11
1992-01-03T12:00:00Z,0.0,17.875,293.625,26.06
1992-01-03T12:00:00Z,0.0,17.875,293.875,26.03
1992-01-03T12:00:00Z,0.0,17.875,294.125,26.04
1992-01-03T12:00:00Z,0.0,17.875,294.375,26.0
1992-01-03T12:00:00Z,0.0,17.875,294.625,25.98
1992-01-03T12:00:00Z,0.0,17.875,294.875,25.94
1992-01-03T12:00:00Z,0.0,17.875,295.125,25.91
1992-01-03T12:00:00Z,0.0,17.875,295.375,25.92
1992-01-03T12:00:00Z,0.0,17.875,295.625,25.96
1992-01-03T12:00:00Z,0.0,17.875,295.875,25.97
1992-01-03T12:00:00Z,0.0,17.875,296.125,25.93
1992-01-03T12:00:00Z,0.0,18.125,292.125,26.11
1992-01-03T12:00:00Z,0.0,18.125,292.375,26.24
1992-01-03T12:00:00Z,0.0,18.125,292.625,26.32
1992-01-03T12:00:00Z,0.0,18.125,292.875,26.33
1992-01-03T12:00:00Z,0.0,18.125,293.125,NaN
1992-01-03T12:00:00Z,0.0,18.125,293.375,NaN
1992-01-03T12:00:00Z,0.0,18.125,293.625,NaN
1992-01-03T12:00:00Z,0.0,18.125,293.875,NaN
1992-01-03T12:00:00Z,0.0,18.125,294.125,NaN
