time,latitude,longitude,Kd_490 monthly diffuse attenuation coefficient,,From ,"https://oceanwatch.pifsc.noaa.gov/erddap/griddap/aqua_kd490_monthly_2018_0.graph?Kd_490%5B(2002-07-16T12:00:00Z):(2021-06-16T12:00:00Z)%5D%5B(18.4585)%5D%5B(65.7057)%5D&.draw=lines&.vars=time%7CKd_490&.color=0x000000&.timeRange=1,month(s)&.bgColor=0xffffffff"
UTC,degrees_north,degrees_east,m-1,,Turbidity via MODIS aqua which represents turbidity of the water column,
2015-03-16T12:00:00Z,18.479164,65.68751,0.0624,,,
2015-04-16T12:00:00Z,18.479164,65.68751,0.0376,,,
2015-05-16T12:00:00Z,18.479164,65.68751,0.028,,,
2015-06-16T12:00:00Z,18.479164,65.68751,NaN,,,
2015-07-16T12:00:00Z,18.479164,65.68751,NaN,,,
2015-08-16T12:00:00Z,18.479164,65.68751,NaN,,,
2015-09-16T12:00:00Z,18.479164,65.68751,0.0476,,,
2015-10-16T12:00:00Z,18.479164,65.68751,0.0392,,,
2015-11-16T12:00:00Z,18.479164,65.68751,0.0468,,,
2015-12-16T12:00:00Z,18.479164,65.68751,0.0638,,,
2016-01-16T12:00:00Z,18.479164,65.68751,0.092,,,
2016-02-16T12:00:00Z,18.479164,65.68751,0.0804,,,
2016-03-16T12:00:00Z,18.479164,65.68751,0.1182,,,
2016-04-16T12:00:00Z,18.479164,65.68751,0.0352,,,
2016-05-16T12:00:00Z,18.479164,65.68751,0.0286,,,
2016-06-16T12:00:00Z,18.479164,65.68751,NaN,,,
2016-07-16T12:00:00Z,18.479164,65.68751,NaN,,,
2016-08-16T12:00:00Z,18.479164,65.68751,NaN,,,
2016-09-16T12:00:00Z,18.479164,65.68751,0.0496,,,
2016-10-16T12:00:00Z,18.479164,65.68751,0.0478,,,
2016-11-16T12:00:00Z,18.479164,65.68751,0.0556,,,
2016-12-16T12:00:00Z,18.479164,65.68751,0.074,,,
2017-01-16T12:00:00Z,18.479164,65.68751,0.0644,,,
2017-02-16T12:00:00Z,18.479164,65.68751,0.0774,,,
2017-03-16T12:00:00Z,18.479164,65.68751,0.0532,,,
