SCIname,COMname,common,genera,subfam,PD,Lmax,borrowed
Makaira nigricans,"MARLIN,BLUE",Blue marlin,189,NA,pelagic-oceanic,500,
Sphyrnidae,"SHARK,HAMMERHEAD,UNSPECIFIED",NA,NA,Sphyrnidae,pelagic-oceanic,520,1
Sphyrna mokarran,"SHARK,HAMMERHEAD,GREAT",Great hammerhead,30,NA,pelagic-oceanic,610,
Rhincodon typus,"SHARK,WHALE",Whale shark,2283,NA,pelagic-oceanic,1700,
Jenkinsia lamprotaenia,"HERRING,DWARF",Dwarf round herring,7908,NA,reef-associated,7.5,
Serranus tortugarum,"BASS,CHALK",Chalk bass,5359,Serraninae,reef-associated,8,
Atherinidae,SILVERSIDE,NA,NA,Atherinidae,reef-associated,10,1
Atherinomorus stipes,"SILVERSIDE,HARDHEAD",Hardhead silverside,2758,Atherinomorinae,reef-associated,10,
Apogonidae,CARDINALFISH,NA,NA,Apogonidae,reef-associated,11.10000038,1
Apogon maculatus,FLAMEFISH,Flamefish,3391,Apogoninae,reef-associated,11.10000038,
Chaetodon capistratus,"BUTTERFLYFISH,FOUREYE",Foureye butterflyfish,364,NA,reef-associated,15,
Hypoplectrus nigricans,"HAMLET,BLACK",Black hamlet,1363,Serraninae,reef-associated,15.23999977,
Chaetodon striatus,"BUTTERFLYFISH,BANDED",Banded butterflyfish,364,NA,reef-associated,16,
Chaetodontidae,"BUTTERFLYFISH,UNSPECIFIED",NA,NA,Chaetodontidae,reef-associated,17,1
Hippocampus reidi,"SEAHORSE,LONGSNOUT",Longsnout seahorse,5566,Syngnathinae,reef-associated,17.5,
Chaetodon ocellatus,"BUTTERFLYFISH,SPOTFIN",Spotfin butterflyfish,364,NA,reef-associated,20,
Chromis multilineata,"DAMSELFISH,BROWN CHROMIS",Brown chromis,2049,Pomacentrinae,reef-associated,20,
Cantherhines pullus,"FILEFISH,ORANGESPOTTED",Orangespotted filefish,508,NA,reef-associated,20,
Monacanthus setifer,"FILEFISH,PYGMY",Pygmy filefish,NA,Monacanthidae,reef-associated,20,
Antennariidae,FROGFISHES,NA,NA,Antennariidae,reef-associated,20,1
Histrio histrio,SARGASSUMFISH,Sargassumfish,3872,Antennariinae,reef-associated,20,
Serranus phoebe,TATTLER,Tattler,5359,Serraninae,reef-associated,20,
Sardinella,"HERRING,SARDINELLA",NA,NA,Sardinella,reef-associated,20.5,1
Harengula jaguana,"SARDINE,SCALED",Scaled herring,6654,Dorosomatinae,reef-associated,21.20000076,
Pomacentridae,"DAMSELFISH,UNSPECIFIED",NA,NA,Pomacentridae,reef-associated,21.45,1
Harengula humeralis,"SARDINE,REDEAR",Redear herring,6654,Dorosomatinae,reef-associated,22,
Serranus tabacarius,TOBACCOFISH,Tobaccofish,5359,Serraninae,reef-associated,22,
Abudefduf saxatilis,"DAMSELFISH,SERGEANT MAJOR",Sergeant-major,7803,Pomacentrinae,reef-associated,22.89999962,
Haemulon chrysargyreum,"GRUNT,SMALLMOUTH",Smallmouth grunt,1239,Haemulinae,reef-associated,23,
Equetus lanceolatus,"DRUM,JACKKNIFE-FISH",Jack-knifefish,NA,Sciaenidae,reef-associated,25,
Sciaenidae,"DRUM,UNSPECIFIED",NA,NA,Sciaenidae,reef-associated,25,1
Haemulon aurolineatum,"GRUNT,TOMTATE",Tomtate grunt,1239,Haemulinae,reef-associated,25,
Diplectrum bivittatum,"SAND PERCH,DWARF",Dwarf sand perch,10490,Serraninae,reef-associated,25,
Myripristis jacobus,"SOLDIERFISH,BLACKBAR",Blackbar soldierfish,5158,Myripristinae,reef-associated,25,
Xanthichthys ringens,"TRIGGERFISH,SARGASSUM",Sargassum triggerfish,5217,NA,reef-associated,25,
Eucinostomus gula,"MOJARRA,SILVER JENNY",Jenny mojarra,722,NA,reef-associated,25.5,
Equetus punctatus,"DRUM,SPOTTED",Spotted drum,3517,NA,reef-associated,27,
Paranthias furcifer,CREOLE-FISH,Creole-fish,3721,Epinephelinae,reef-associated,30,
Odontoscion dentex,"DRUM,REEF CROAKER",Reef croaker,5824,NA,reef-associated,30,
Pseudupeneus maculatus,"GOATFISH,SPOTTED",Spotted goatfish,2722,NA,reef-associated,30,
Haemulon flavolineatum,"GRUNT,FRENCH",French grunt,1239,Haemulinae,reef-associated,30,
Hyporhamphus unifasciatus,"HALFBEAK,SILVERSTRIPE",Common halfbeak,2029,NA,reef-associated,30,
Sphoeroides spengleri,"PUFFER,BANDTAIL",Bandtail puffer,4586,Tetraodontinae,reef-associated,30,
Decapterus punctatus,"SCAD,ROUND",Round scad,10590,Caranginae,reef-associated,30,
Haemulon melanurum,"GRUNT,COTTONWICK",Cottonwick grunt,1239,Haemulinae,reef-associated,33,
Alphestes afer,"HAMLET,MUTTON",Mutton hamlet,8032,Epinephelinae,reef-associated,33,
Archosargus rhomboidalis,"PORGY,SEA BREAM",Western Atlantic seabream,9352,NA,reef-associated,33,
Oligoplites saurus,LEATHERJACK,Leatherjacket,4180,Scomberoidinae,reef-associated,35,
Grammistidae,SOAPFISH,NA,NA,Grammistidae,reef-associated,35,1
Rypticus saponaceus,"SOAPFISH,GREATER",Greater soapfish,816,Grammistinae,reef-associated,35,
Haemulon carbonarium,"GRUNT,CAESAR",Caesar grunt,1239,Haemulinae,reef-associated,36,
Agonostomus monticola,"MULLET,MOUNTAIN",Mountain mullet,NA,Mugilidae,reef-associated,36,
Gerreidae,"MOJARRAS,UNSPECIFIED",NA,NA,Gerreidae,reef-associated,36.6,
Calamus pennatula,"PORGY,PLUMA",Pluma porgy,2964,NA,reef-associated,37,
