SCIname,COMname,common,genera,subfam,famcode,PD,Lmax,borrowed
Chaetodipterus faber,"SPADEFISH, ATLANTIC",,,,spadefish,reef-associated,91,NA
Holocentridae,SQUIRRELFISH,NA,NA,Holocentridae,squirrelfishes,reef-associated,61,1
Holocentrus rufus,"SQUIRRELFISH,LONGSPINE",Squirrelfish,1088,Holocentrinae,squirrelfishes,reef-associated,35,
Acanthuridae,"SURGEONFISH,UNSPECIFIED",NA,NA,Acanthuridae,surgeonfishes,reef-associated,39,1
Acanthurus chirurgus,"SURGEONFISH,DOCTORFISH",Doctorfish,9710,Acanthurinae,surgeonfishes,reef-associated,39,NA
Acanthurus bahianus,"SURGEONFISH,OCEAN",Barber surgeonfish,9710,Acanthurinae,surgeonfishes,reef-associated,39,1
Acanthurus coeruleus,"SURGEONFISH,BLUE TANG",,,,surgeonfishes,reef-associated,39,
Balistidae,"TRIGGERFISH,UNSPECIFIED",NA,NA,Balistidae,triggerfishes,reef-associated,52.5,1
Balistes vetula,"TRIGGERFISH,QUEEN",Queen triggerfish,4755,NA,triggerfishes,reef-associated,60,NA
Canthidermis sufflamen,"TRIGGERFISH,OCEAN",Ocean triggerfish,4372,NA,triggerfishes,reef-associated,65,NA
Lobotes surinamensis,TRIPLETAIL,Tripletail,165,NA,tripletail,benthopelagic,110,NA
Scombridae,"TUNA AND MACKERELS,UNSPECIFI",NA,NA,Scombridae,tunas and mackerels,pelagic-neritic,163.6,1
Scomberomorus cavalla,"MACKEREL,KING",King mackerel,2960,Scombrinae,tunas and mackerels,pelagic-neritic,184,NA
Thunnus atlanticus,"TUNA,BLACKFIN",Blackfin tuna,8961,Scombrinae,tunas and mackerels,pelagic-oceanic,107.9499969,NA
Katsuwonus pelamis,"TUNA,SKIPJACK",Skipjack tuna,4643,Scombrinae,tunas and mackerels,pelagic-oceanic,110,NA
Euthynnus alletteratus,"TUNNY,LITTLE",Little tunny,7010,Scombrinae,tunas and mackerels,pelagic-oceanic,122,NA
Thunnus albacares,"TUNA,YELLOWFIN",Yellowfin tuna,8961,Scombrinae,tunas and mackerels,pelagic-oceanic,239,NA
Thunnus obesus,"TUNA,BIGEYE",Bigeye tuna,8961,Scombrinae,tunas and mackerels,pelagic-oceanic,250,NA
Acanthocybium solandri,WAHOO,Wahoo,369,Scombrinae,tunas and mackerels,pelagic-oceanic,250,NA
Scomberomorus regalis,"MACKEREL,CERO",Cero,2960,Scombrinae,tunas and mackerels,reef-associated,183,NA
,"TUNA,UNSPECIFIED",,,,tunas and mackerels,pelagic,161.5,NA
Scomberomorus,"MACKEREL,KING AND CERO,UNSPE",,,,tunas and mackerels,pelagic-neritic,184,NA
Osteichthyes,"FISHES,BONY,UNSPECIFIED",NA,NA,Osteichthyes,UNID,NA,NA,NA
Halichoeres radiatus,PUDDINGWIFE,,,,wrasses,reef-associated,51,NA
Lachnolaimus maximus,HOGFISH,,,,wrasses,reef-associated,91,NA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
