N,logbook,adj,shellcatch,second_name,third_name
1,"SNAPPER,CARIBBEAN RED",CARIBBEAN RED SNAPPER,CARIBBEAN RED SNAPPER,,
1968,"SNAPPER,CUBERA",CUBERA SNAPPER,CUBERA,,
92,"SNAPPER,DOG",DOG SNAPPER,DOG SNAPPER,,
263,"SNAPPER,GRAY",GRAY SNAPPER,GRAY SNAPPER,,
173156,"SNAPPER,LANE",LANE SNAPPER,LANE SNAPPER,,
58,"SNAPPER,MAHOGANY",MAHOGANY SNAPPER,,,
87918,"SNAPPER,MUTTON",MUTTON SNAPPER,MUTTON SNAPPER,,
32256,"SNAPPER,QUEEN",QUEEN SNAPPER,QUEEN SNAPPER,,
94,"SNAPPER,SCHOOLMASTER",SCHOOLMASTER SNAPPER,SCHOOLMASTER SNAPPER,,
122395,"SNAPPER,SILK",SILK SNAPPER,SILK SNAPPER,,
73911,"SNAPPER,UNSPECIFIED",UNSPECIFIED SNAPPER,SNAPPERS,,
13285,"SNAPPER,VERMILION",VERMILION SNAPPER,VERMILION SNAPPER,,
152979,"SNAPPER,YELLOWTAIL",YELLOWTAIL SNAPPER,YELLOWTAIL SNAPPER,,
7072,"SNOOK,COMMON",COMMON SNOOK,,,
18,"SNOOK,FAT",FAT SNOOK,FAT SNOOK,,
13,"SNOOK,SWORDSPINE",SWORDSPINE SNOOK,SWORDSPINE SNOOK,,
1,"SNOOK,TARPON",TARPON SNOOK,,,
19576,"SNOOK,UNSPECIFIED",UNSPECIFIED SNOOK,SNOOK,,
5,SOAPFISH,SOAPFISH,,,
3,"SOAPFISH,GREATER",GREATER SOAPFISH,,,
5,"SOLDIERFISH,BLACKBAR",BLACKBAR SOLDIERFISH,,,
2,"SOLES,TONGUE",TONGUE SOLES,,,
48,"SPADEFISH,ATLANTIC",ATLANTIC SPADEFISH,,,
8,SPANISH FLAG,SPANISH FLAG,,,
431,"SQUIDS,UNSPECIFIED",UNSPECIFIED SQUIDS,SQUIDS,,
26913,SQUIRRELFISH,SQUIRRELFISH,SQUIRRELFISH,,
125,"STINGRAY,SOUTHERN",SOUTHERN STINGRAY,SOUTHERN STINGRAY,,
452,"STINGRAYS,UNSPECIFIED",UNSPECIFIED STINGRAYS,STINGRAYS,,
22,"SURGEONFISH,DOCTORFISH",DOCTORFISH SURGEONFISH,,,
44,"SURGEONFISH,OCEAN",OCEAN SURGEONFISH,,,
14,"SURGEONFISH,UNSPECIFIED",UNSPECIFIED SURGEONFISH,,,
117,SWORDFISH,SWORDFISH,SWORDFISH,,
1064,TARPON,TARPON,,,
3,TATTLER,TATTLER,,,
28,THREADFIN,THREADFIN,THREADFINS,,
72,"TILEFISH,BLACKLINE",BLACKLINE TILEFISH,,,
52,"TILEFISH,SAND",SAND TILEFISH,,,
4,"TILEFISH,UNSPECIFIED",UNSPECIFIED TILEFISH,,,
21,TOBACCOFISH,TOBACCOFISH,TOBACCOFISH,,
698,"TOPSNAIL,WEST INDIAN",WEST INDIAN TOPSNAIL,WEST INDIAN TOP SHELL,,
1,"TRIGGERFISH,GRAY",GRAY TRIGGERFISH,GREY TRIGGERFISH,,
27,"TRIGGERFISH,OCEAN",OCEAN TRIGGERFISH,OCEAN TRIGGERFISH,,
96101,"TRIGGERFISH,QUEEN",QUEEN TRIGGERFISH,QUEEN TRIGGERFISH,,
14,"TRIGGERFISH,SARGASSUM",SARGASSUM TRIGGERFISH,SARGASSUM TRIGGERFISH,,
57,"TRIGGERFISH,UNSPECIFIED",UNSPECIFIED TRIGGERFISH,TRIGGERFISH,,
44,TRIPLETAIL,TRIPLETAIL,TRIPLETAIL,,
2,TRUMPETFISH,TRUMPETFISH,,,
5595,"TRUNKFISH,UNSPECIFIED",UNSPECIFIED TRUNKFISH,TRUNKFISH,SPOTTED TRUNKFISH,SMOOTH TRUNKFISH
22214,"TUNA AND MACKERELS,UNSPECIFI",UNSPECIFI TUNA AND MACKERELS,MACKERELS AND TUNAS,,
3057,"TUNA,ALBACORE",ALBACORE TUNA,ALBACORE,,
27,"TUNA,BIGEYE",BIGEYE TUNA,BIGEYE TUNA,,
14327,"TUNA,BLACKFIN",BLACKFIN TUNA,BLACKFIN TUNA,,
15719,"TUNA,SKIPJACK",SKIPJACK TUNA,SKIPJACK TUNA,,
8272,"TUNA,YELLOWFIN",YELLOWFIN TUNA,"YELLOWFIN TUNA, ALLISON TUNA",,
9331,"TUNNY,LITTLE",LITTLE TUNNY,LITTLE TUNNY,,
4818,WAHOO,WAHOO,WAHOO,,
9,"WRASSE,PUDDINGWIFE",PUDDINGWIFE WRASSE,PUDDINGWIFE,,
3568,"WRASSE,SPANISH HOGFISH",SPANISH HOGFISH WRASSE,,,
24,"WRASSES,UNSPECIFIED",UNSPECIFIED WRASSES,,,
,WARMOUTH BASS,WARMOUTH BASS,WARMOUTH BASS,Lepomis gulosus ,FW
,FALSE PLICHARD,FALSE PLICHARD,FALSE PLICHARD,Harengula clupeola,
,FALSE AMBERJACK,FALSE AMBERJACK,FALSE AMBERJACK,Seriola fasciata,
,SCRAWLED COWFISH,SCRAWLED COWFISH,SCRAWLED COWFISH,Acanthostracion quadricornis,
,PRINCESS PARROTFISH,PRINCESS PARROTFISH,PRINCESS PARROTFISH,Scarus taeniopterus,
,REDFIN PARROTFISH,REDFIN PARROTFISH,REDFIN PARROTFISH,Sparisoma rubripinne,
,KING CRAB,KING CRAB,KING CRAB,invert,
,TRUE TULIP,TRUE TULIP,TRUE TULIP,invert,
