"N","logbook","adj","shellcatch","unmatched"
171,"RAY,SPOTTED EAGLE","SPOTTED EAGLE RAY","SPOTTED EAGLE RAY",NA
34,"RAYS,EAGLE","EAGLE RAYS",NA,NA
271,"RAYS,MANTA","MANTA RAYS",NA,NA
8,"REMORA","REMORA",NA,NA
112,"REMORA,SHARKSUCKER","SHARKSUCKER REMORA",NA,NA
22,"SAILFISH","SAILFISH",NA,NA
11,"SAND PERCH,DWARF","DWARF SAND PERCH",NA,NA
70,"SARDINE,REDEAR","REDEAR SARDINE","REDEAR SARDINE",NA
42,"SARDINE,SCALED","SCALED SARDINE","SCALED SARDI",NA
15,"SARGASSUMFISH","SARGASSUMFISH",NA,NA
1192,"SCAD,BIGEYE","BIGEYE SCAD","BIGEYE SCAD",NA
16,"SCAD,MACKEREL","MACKEREL SCAD",NA,NA
45,"SCAD,ROUND","ROUND SCAD",NA,NA
173,"SCOMBROPS,ATLANTIC","ATLANTIC SCOMBROPS",NA,NA
3,"SEAHORSE,LONGSNOUT","LONGSNOUT SEAHORSE",NA,NA
8,"SHARK,BIGEYED SIXGILL","BIGEYED SIXGILL SHARK",NA,NA
1,"SHARK,BLACKTIP","BLACKTIP SHARK",NA,NA
6,"SHARK,BLUE","BLUE SHARK",NA,NA
10,"SHARK,COW","COW SHARK",NA,NA
1,"SHARK,DOGFISH,SMOOTH","SMOOTH DOGFISH SHARK","SMOOTH DOGFISH",NA
3,"SHARK,DUSKY","DUSKY SHARK",NA,NA
22,"SHARK,HAMMERHEAD,GREAT","GREAT HAMMERHEAD SHARK",NA,NA
20,"SHARK,HAMMERHEAD,SCALLOPED","SCALLOPED HAMMERHEAD SHARK",NA,NA
4,"SHARK,HAMMERHEAD,UNSPECIFIED","UNSPECIFIED HAMMERHEAD SHARK",NA,NA
358,"SHARK,LEMON","LEMON SHARK","LEMON SHARK",NA
5,"SHARK,MACKEREL","MACKEREL SHARK",NA,NA
8,"SHARK,MAKO,SHORTFIN","SHORTFIN MAKO SHARK",NA,NA
14,"SHARK,NURSE","NURSE SHARK",NA,NA
165,"SHARK,REEF","REEF SHARK","REEF SHARK",NA
47,"SHARK,SHARPNOSE SEVENGILL","SHARPNOSE SEVENGILL SHARK",NA,NA
2,"SHARK,SMOOTHHOUND,NARROWFIN","NARROWFIN SMOOTHHOUND SHARK",NA,NA
378,"SHARK,TIGER","TIGER SHARK","TIGER SHARK",NA
10,"SHARK,WHALE","WHALE SHARK",NA,NA
4,"SHARK,WOBBEGONGS","WOBBEGONGS SHARK",NA,NA
15265,"SHARKS,REQUIEM,UNSPECIFIED","UNSPECIFIED REQUIEM SHARKS","REQUIEM SHARKS",NA
5690,"SHELLFISH,UNSPECIFIED","UNSPECIFIED SHELLFISH",NA,NA
728,"SHRIMP,PENAEUS,UNSPECIFIED","UNSPECIFIED PENAEUS SHRIMP",NA,NA
1,"SILVERSIDE","SILVERSIDE",NA,NA
2,"SILVERSIDE,HARDHEAD","HARDHEAD SILVERSIDE",NA,NA
