SCIname,COMname,common,genera,subfam,famcode,PD,Lmax,borrowed,USVI
Caranx latus,"JACK,HORSE-EYE",Horse-eye jack,3864,Caranginae,jacks,reef-associated,101,NA,1
Caranx hippos,"JACK,CREVALLE",Crevalle jack,3864,Caranginae,jacks,reef-associated,124,NA,1
Alectis ciliaris,"POMPANO,AFRICAN",African pompano,2433,Caranginae,jacks,reef-associated,150,NA,1
Seriola rivoliana,"JACK, ALMACO",Longfin yellowtail,7464,Naucratinae,jacks,reef-associated,160,NA,1
Elagatis bipinnulata,RAINBOW RUNNER,Rainbow runner,1900,Naucratinae,jacks,reef-associated,180,NA,1
Seriola dumerili,"AMBERJACK,GREATER",Greater amberjack,7464,Naucratinae,jacks,reef-associated,190,NA,1
Oligoplites saurus,LEATHERJACK,Leatherjacket,4180,Scomberoidinae,jacks,reef-associated,35,NA,NA
Trachinotus carolinus,"POMPANO,FLORIDA",Florida pompano,2819,Trachinotinae,jacks,benthopelagic,64,NA,1
Trachinotus goodei,PALOMETA,Great pompano,2819,Trachinotinae,jacks,reef-associated,50,NA,1
Trachinotus falcatus,PERMIT,Permit,2819,Trachinotinae,jacks,reef-associated,122,NA,1
Pterois,LIONFISH,NA,NA,Pterois,lionfish,reef-associated,45.7,NA,1
Synodus intermedius,"LIZARDFISH,SAND DIVER",Sand diver,3034,Synodontinae,lizardfish,reef-associated,46,NA,NA
Synodontidae,"LIZARDFISH,UNSPECIFIED",NA,NA,Synodontinae,lizardfish,reef-associated,46,1,NA
Scyllarides nodifer,"LOBSTER,RIDGED SLIPPER",NA,NA,NA,lobsters,invert,NA,NA,NA
Scyllarides aequinoctialis,"LOBSTER,SPANISH SLIPPER",NA,NA,NA,lobsters,invert,NA,NA,1
Panulirus guttatus,"LOBSTER, SPOTTED SPINY",,,,lobsters,invert,NA,NA,1
Panulirus argus,"LOBSTERS,SPINY",NA,NA,NA,lobsters,invert,NA,NA,1
Gerres cinereus,"MOJARRA,YELLOWFIN",Yellow fin mojarra,2344,Gerreidae,mojarras,reef-associated,41,NA,NA
Gerreidae,"MOJARRAS,UNSPECIFIED",NA,NA,Gerreidae,mojarras,reef-associated,36.6,NA,NA
Diapterus plumieri,"MOJARRA,STRIPED",Striped mojarra,NA,Gerreidae,mojarras,reef-associated,40,NA,NA
Diapterus rhombeus,"MOJARRA,RHOMBOID",Caitipa mojarra,6023,NA,mojarras,demersal,40,NA,NA
Eucinostomus gula,"MOJARRA,SILVER JENNY",Jenny mojarra,722,NA,mojarras,reef-associated,25.5,NA,NA
Agonostomus monticola,"MULLET,MOUNTAIN",Mountain mullet,NA,Mugilidae,mullets,reef-associated,36,NA,NA
Mugilidae,MULLETS,,,,mullets,reef-associated,67,NA,1
Mugil liza,"MULLET,LIZA",Lebranche mullet,3595,NA,mullets,demersal,80,NA,NA
Joturus pichardi,"MULLET,HOG",Bobo mullet,1658,NA,mullets,pelagic-neritic,61,NA,NA
Mugil curema,"MULLET,WHITE",White mullet,3595,NA,mullets,reef-associated,91,NA,1
,,,,,,,,,NA
,"FISHES, RAY-FINNED",,,,NA,,,,1
,OTHER SPECIES,,,,NA,,,,1
