area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,5.4639455474,12601.988529517706
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale seine nets,,4.1959418303
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale pots or traps,,7.2919847226
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale lines,,4.2482366236
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,23.1261431946,53337.901841184284
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,40.1901383977,92694.12710967836
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale lines,Direct human consumption,23.4143685625,54002.66190314364
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale seine nets,Direct human consumption,11.8400387243,27307.745089933567
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,20.5764009571,47457.20223457518
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,11.9876033004,27648.086529910113
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Engraulidae","Anchovies, round herrings","Small pelagics (<30 cm)","Anchovies","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale seine nets,Direct human consumption,201.7939996861,105413.7536667291
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Engraulidae","Anchovies, round herrings","Small pelagics (<30 cm)","Anchovies","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale seine nets,Other,0.2019959957,1.1238671161147862
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Octopodidae","Octopuses","Cephalopods","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale pots or traps,,1.8288866108
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Octopodidae","Octopuses","Cephalopods","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale lines,,1.8288866108
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Octopodidae","Octopuses","Cephalopods","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,10.0800000000,13416.67707408
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Octopodidae","Octopuses","Cephalopods","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale lines,Direct human consumption,10.0800000000,13416.67707408
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Octopodidae","Octopuses","Cephalopods","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,5.1607217570,6869.0215558879845
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Octopodidae","Octopuses","Cephalopods","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,5.1607217570,6869.0215558879845
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Coryphaena","Dolphinfishes","Large pelagics (>=90 cm)","Perch-likes","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,2.2772594838,0.3188082366356283
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Coryphaena","Dolphinfishes","Large pelagics (>=90 cm)","Perch-likes","Puerto Rico (USA)",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,6.8852459016,0.9639099629508191
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Epinephelus","Seabasses, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","US Virgin Isl.",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,28.2736526351,55928.13102292301
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Epinephelus","Seabasses, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,14.6010000000,28882.247780463
"US Virgin Isl.",eez,Reconstructed domestic catch,1,1950,"Thunnus","Tunas","Large pelagics (>=90 cm)","Tuna & billfishes","US Virgin Isl.",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,3.4527443571,0.5044597063058286
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Acanthurus","Surgeonfishes","Small reef assoc. fish (<30 cm)","Perch-likes","US Virgin Isl.",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,47.5429572973,102949.0567107123
